id,title_en,title_es,case_name,docket,court_en,court_es,status,status_label_en,status_label_es,what_it_affects_en,what_it_affects_es,people_affected,timeline_events,first_event,latest_event,last_checked,url_en,url_es
civil-denaturalization-surge,Civil denaturalization: efforts to revoke naturalized U.S. citizenship,Desnaturalización civil: esfuerzos para revocar la ciudadanía estadounidense naturalizada,DOJ civil denaturalization initiative (TRAC Report 774),"8 U.S.C. § 1451(a) (INA § 340); DOJ Civil Division enforcement-priorities memo (June 11, 2025); TRAC Report 774",U.S. district courts (nationwide),Cortes federales de distrito (en todo el país),active_litigation,Active litigation,Litigio activo,"Naturalized U.S. citizens — people born abroad who later became citizens. Civil denaturalization under 8 U.S.C. § 1451(a) (INA § 340) asks a federal court to revoke citizenship the government says was ""illegally procured"" or obtained by concealing a material fact or by willful misrepresentation. The June 11, 2025 DOJ Civil Division priorities memo lists the categories the government says it will pursue first, such as national-security or terrorism ties, war crimes or human-rights violations, gang or cartel affiliation, serious undisclosed crimes, and government-program fraud. Unlike criminal denaturalization, the civil process has no jury, no government-appointed defense attorney, and no statute of limitations; the government must prove its case by ""clear, convincing, and unequivocal"" evidence. U.S. citizens by birth are not affected. This is general information, not legal advice.","Ciudadanos estadounidenses naturalizados —personas nacidas en el extranjero que luego se hicieron ciudadanas. La desnaturalización civil bajo 8 U.S.C. § 1451(a) (INA § 340) pide a una corte federal revocar una ciudadanía que el gobierno alega fue ""obtenida ilegalmente"" o lograda ocultando un hecho material o mediante tergiversación deliberada. El memorando de prioridades de la División Civil del DOJ del 11 de junio de 2025 enumera las categorías que el gobierno dice perseguir primero, como vínculos con la seguridad nacional o el terrorismo, crímenes de guerra o violaciones de derechos humanos, afiliación a pandillas o carteles, delitos graves no declarados y fraude a programas del gobierno. A diferencia de la desnaturalización penal, el proceso civil no tiene jurado, no hay abogado defensor designado por el gobierno y no hay plazo de prescripción; el gobierno debe probar su caso con evidencia ""clara, convincente e inequívoca"". Las personas que son ciudadanas por nacimiento no se ven afectadas. Esta es información general, no asesoría legal.",,6,2025-06-11,2026-08-11,2026-08-26,/immigration-cases/civil-denaturalization-citizenship-revocation/,/es/casos-de-inmigracion/desnaturalizacion-civil-revocacion-de-ciudadania/
tuition-equity,In-state tuition for undocumented students,Matrícula estatal para estudiantes indocumentados,U.S. challenges to state tuition-equity laws (8 U.S.C. § 1623),"multiple — e.g., 5th Cir. No. 25-10898 (TX); D. Minn. 0:25-cv-02668; S.D. Ill. 3:25-cv-01691","Multiple U.S. District Courts; 5th, 6th, 8th & 10th Circuits","Varios tribunales federales de distrito; Circuitos 5.º, 6.º, 8.º y 10.º",active_litigation,Active litigation,Litigio activo,"Undocumented students (and, depending on the state, DACA recipients and some other noncitizens) who qualify for in-state tuition rates at public colleges. Where laws were struck, affected students lose in-state rates; where cases continue, eligibility holds pending the courts.","Estudiantes indocumentados (y, según el estado, beneficiarios de DACA y otros no ciudadanos) que califican para tarifas de matrícula estatal en universidades públicas. Donde se anularon las leyes, los estudiantes afectados pierden la tarifa estatal; donde el caso continúa, la elegibilidad se mantiene a la espera de los tribunales.",,10,2025-06-04,2026-08-10,2026-08-26,/immigration-cases/in-state-tuition-equity/,/es/casos-de-inmigracion/matricula-estatal-equidad/
birthright-citizenship,Birthright citizenship at the Supreme Court,Ciudadanía por nacimiento en la Corte Suprema,Trump v. Barbara,No. 25-365,U.S. Supreme Court,Corte Suprema de EE.UU.,decided,Decided,Resuelto,"U.S.-born children whose mother is an unauthorized immigrant, or lawfully present only temporarily, and whose father is not a U.S. citizen or lawful permanent resident — the class whose automatic birthright citizenship Executive Order 14160 would have denied. The Supreme Court struck the order down, so these children are U.S. citizens at birth, as they were before.","Hijos nacidos en EE.UU. cuya madre es inmigrante no autorizada, o con presencia legal solo temporal, y cuyo padre no es ciudadano estadounidense ni residente permanente legal — la categoría a la que la Orden Ejecutiva 14160 habría negado la ciudadanía automática por nacimiento. La Corte Suprema anuló la orden, así que estos niños son ciudadanos estadounidenses al nacer, como antes.",260000,5,2025-01-20,2026-08-06,2026-08-31,/immigration-cases/birthright-citizenship-supreme-court/,/es/casos-de-inmigracion/ciudadania-por-nacimiento-corte-suprema/
alien-registration,Alien registration mandate (Form G-325R),Mandato de registro de extranjeros (Formulario G-325R),Coalition for Humane Immigrant Rights (CHIRLA) v. U.S. Department of Homeland Security (a/k/a CHIRLA v. Noem) — alien registration / Form G-325R rule,"D.D.C. 1:25-cv-00943-TNM (stayed); D.C. Cir. 25-5152 (consolidated with 25-5233 and 25-5247) — appeals dismissed Aug. 6, 2026","U.S. District Court for the District of Columbia (Judge Trevor N. McFadden); on appeal, U.S. Court of Appeals for the D.C. Circuit","Tribunal Federal del Distrito de Columbia (juez McFadden); en apelación, Circuito de DC",in_effect,Policy in effect,Política en vigor,"Affects noncitizens already physically present in the United States who are age 14 or older and were not previously registered or fingerprinted — for example, people who entered without inspection, certain parolees and applicants without a registration document, and Canadian visitors staying 30+ days — who under the registration rule (the March 2025 interim final rule, adopted as final on June 29, 2026) must file Form G-325R, submit biometrics, and carry proof of registration, with criminal penalties for willful failure to register or to carry proof. People already documented as registered (most lawful permanent residents, EAD holders, those issued an I-94 or placed in removal proceedings, and many DACA/TPS recipients with the right documents) are generally treated as already registered. The June 2026 final rule did not change who must register or the penalties; it adopted the interim rule's Form G-325R provisions without change, updated which documents count as proof of registration (adding Forms I-94A/I-94W, DSP-150, I-860 and I-871 and NEXUS/SENTRI/FAST/Global Entry documents), and imposed no filing or biometric services fee.","No ciudadanos que ya están físicamente en EE.UU., de 14 años o más, que no estaban registrados ni con huellas tomadas previamente — por ejemplo, quienes entraron sin inspección, ciertos parolados sin documento de registro y visitantes canadienses que se quedan 30+ días — quienes bajo la regla de registro (la regla interina de marzo de 2025, adoptada como final el 29 de junio de 2026) deben presentar el Formulario G-325R, dar datos biométricos y portar prueba de registro, con penas penales por no registrarse o no portar la prueba de forma intencional. Quienes ya constan como registrados (la mayoría de residentes permanentes, titulares de EAD, quienes recibieron un I-94 o están en proceso de deportación, y muchos beneficiarios de DACA/TPS con los documentos correctos) generalmente se consideran ya registrados. La regla final de junio de 2026 no cambió quién debe registrarse ni las penas; adoptó sin cambios las disposiciones del Formulario G-325R de la regla interina, actualizó qué documentos cuentan como prueba de registro (agregando los Formularios I-94A/I-94W, DSP-150, I-860 e I-871 y los documentos de NEXUS/SENTRI/FAST/Global Entry) y no impuso ninguna cuota de presentación ni de servicios biométricos.",,9,2025-03-12,2026-08-06,2026-09-01,/immigration-cases/alien-registration-g325r/,/es/casos-de-inmigracion/registro-de-extranjeros-g325r/
discretionary-ead-restriction-rule,"Proposed rule to restrict discretionary work permits for parolees, deferred-action holders, and people on orders of supervision","Regla propuesta para restringir los permisos de trabajo discrecionales para personas con parole, acción diferida y órdenes de supervisión",Clarification of Discretionary Employment Authorization for Certain Aliens (NPRM),"DHS Docket No. USCIS-2026-0067; RIN 1615-AC98; 91 FR 34352 (June 5, 2026); FR Doc. 2026-11285",U.S. Department of Homeland Security / USCIS (rulemaking),Departamento de Seguridad Nacional de EE.UU. / USCIS (proceso normativo),awaiting_decision,Awaiting decision,En espera de fallo,"The proposal would change how discretionary Employment Authorization Documents (EADs, or work permits) are granted and renewed for three groups of people already in the United States: (1) people paroled into the country for urgent humanitarian reasons or significant public benefit, such as CHNV (Cuban, Haitian, Nicaraguan, and Venezuelan), Ukrainian, and Afghan parolees; (2) people granted deferred action; and (3) people with a final order of removal who are released on an order of supervision, including some with deferral or withholding of removal under the Convention Against Torture. For these categories the rule would end automatic work-permit issuance and require a case-by-case discretionary review: applicants would generally have to show economic necessity, submit biometrics with each application, and pass criminal-history and gang-affiliation screening, and USCIS proposes to shorten EAD validity to generally no more than one year, placing the burden on the applicant to keep proving eligibility. USCIS reports these categories filed 978,308 EAD applications in 2024 and estimates a 10-year economic impact of roughly $9.1 billion to $27.9 billion. This does not cover asylum-based work permits under a separate category, and it is a proposal only.","La propuesta cambiaría la forma en que se otorgan y renuevan los Documentos de Autorización de Empleo discrecionales (EAD, o permisos de trabajo) para tres grupos de personas que ya están en Estados Unidos: (1) personas admitidas mediante parole por razones humanitarias urgentes o de beneficio público significativo, como quienes tienen parole CHNV (cubanos, haitianos, nicaragüenses y venezolanos), ucranianos y afganos; (2) personas a quienes se les otorgó acción diferida; y (3) personas con una orden final de remoción que son liberadas bajo una orden de supervisión, incluidas algunas con aplazamiento o suspensión de la remoción bajo la Convención contra la Tortura. Para estas categorías, la regla eliminaría la emisión automática del permiso de trabajo y exigiría una revisión discrecional caso por caso: por lo general, quienes soliciten tendrían que demostrar necesidad económica, entregar datos biométricos con cada solicitud y pasar la verificación de antecedentes penales y de afiliación a pandillas; además, USCIS propone acortar la vigencia del EAD a por lo general no más de un año, poniendo sobre el solicitante la carga de seguir demostrando su elegibilidad. USCIS informa que estas categorías presentaron 978,308 solicitudes de EAD en 2024 y estima un impacto económico a 10 años de aproximadamente $9.1 mil millones a $27.9 mil millones. Esto no cubre los permisos de trabajo basados en asilo, que están en una categoría aparte, y es solo una propuesta.",,2,2026-06-05,2026-08-04,2026-08-26,/immigration-cases/discretionary-work-permit-restrictions-parolees-deferred-action/,/es/casos-de-inmigracion/restricciones-al-permiso-de-trabajo-discrecional-parole-accion-diferida/
h2a-aewr-farmworker-wage-rule,H-2A Farmworker Wage Rule Changes (AEWR) and United Farm Workers v. DOL,Cambios en la regla salarial (AEWR) para trabajadores agrícolas H-2A y United Farm Workers contra el DOL,United Farm Workers v. U.S. Department of Labor (H-2A Adverse Effect Wage Rate methodology rule),"No. 1:25-cv-01614 (E.D. Cal.); rule: FR Doc. 2025-19365, RIN 1205-AC24, DOL Docket No. ETA-2025-0008",U.S. District Court for the Eastern District of California (rule issued by the U.S. Department of Labor),Tribunal de Distrito de EE.UU. para el Distrito Este de California (regla emitida por el Departamento de Trabajo de EE.UU.),in_effect,Policy in effect,Política en vigor,"The Adverse Effect Wage Rate (AEWR) is the minimum hourly wage floor employers must pay H-2A temporary agricultural workers, and it also influences pay for many U.S. farmworkers who do the same jobs. This rule changes how that floor is calculated: it uses the Bureau of Labor Statistics' Occupational Employment and Wage Statistics (OEWS) survey by state and territory instead of the U.S. Department of Agriculture's Farm Labor Survey, sorts most field and livestock positions into five occupational codes and two skill levels (entry-level and higher-skill), and adds an adjustment factor that can lower the wage when the employer provides free housing. It affects H-2A crop and livestock workers nationwide and the domestic farmworkers whose pay tracks these rates.","El Salario de Efecto Adverso (AEWR, por sus siglas en inglés) es el salario mínimo por hora que los empleadores deben pagar a los trabajadores agrícolas temporales H-2A, y también influye en la paga de muchos trabajadores agrícolas de EE.UU. que realizan las mismas labores. Esta regla cambia cómo se calcula ese mínimo: usa la Encuesta de Empleo y Salarios por Ocupación (OEWS) de la Oficina de Estadísticas Laborales (BLS), por estado y territorio, en lugar de la Encuesta de Mano de Obra Agrícola del Departamento de Agricultura (USDA); agrupa la mayoría de los empleos de campo y ganadería en cinco códigos ocupacionales y dos niveles de habilidad (de nivel inicial y de mayor destreza); y añade un factor de ajuste que puede reducir el salario cuando el empleador proporciona vivienda gratuita. Afecta a los trabajadores H-2A de cosecha y ganadería en todo el país y a los trabajadores agrícolas nacionales cuya paga sigue estas tarifas.",,5,2025-10-02,2026-08-03,2026-08-26,/immigration-cases/h2a-farmworker-wage-rule-changes/,/es/casos-de-inmigracion/cambios-en-la-regla-de-salarios-de-trabajadores-agricolas-h2a/
asylum-ead,Asylum work-permit (EAD) rule (proposed),Regla del permiso de trabajo de asilo (EAD) (propuesta),Employment Authorization Reform for Asylum Applicants (proposed rule),FR 2026-03595; RIN 1615-AC97,DHS / USCIS rulemaking — not a court case,Reglamentación de DHS / USCIS — no es un caso judicial,awaiting_decision,Awaiting decision,En espera de fallo,"Asylum applicants (both affirmative cases before USCIS and defensive cases in immigration court) who seek or renew a work permit (the (c)(8) EAD). The proposal would extend the eligibility wait to 365 days, pause new work-permit acceptance during high-backlog periods, and add eligibility limits.","Solicitantes de asilo (tanto casos afirmativos ante USCIS como casos defensivos en la corte de inmigración) que solicitan o renuevan un permiso de trabajo (el EAD (c)(8)). La propuesta extendería la espera de elegibilidad a 365 días, pausaría la aceptación de nuevos permisos durante periodos de alto rezago, y añadiría límites de elegibilidad.",1525933,3,2026-02-23,2026-07-21,2026-09-01,/immigration-cases/asylum-work-permit-rule/,/es/casos-de-inmigracion/permiso-trabajo-asilo/
public-charge,"Public-charge rule (final — effective Sept. 18, 2026)",Regla de carga pública (final — vigente 18 sep 2026),Public Charge Ground of Inadmissibility (2026 final rule),FR 2025-20278 (NPRM) → final rule FR 2026-14539; RIN 1615-AD06,DHS / USCIS rulemaking — not a court case,Reglamentación de DHS / USCIS — no es un caso judicial,decided,Decided,Resuelto,"Applicants for a green card or admission subject to the public-charge ground of inadmissibility under INA § 212(a)(4) — chiefly family-based immigrants adjudicated by USCIS inside the U.S. The final rule (issued July 16, 2026) rescinds the 2022 regulation's limits on which benefits officers may consider, for admissions and I-485 filings on or after September 18, 2026; benefits received before that date are still considered under the 2022 rule.","Solicitantes de green card o admisión sujetos al motivo de inadmisibilidad por carga pública bajo INA § 212(a)(4) — principalmente inmigrantes por vía familiar adjudicados por USCIS dentro de EE.UU. La regla final (emitida el 16 de julio de 2026) rescinde los límites de la regulación de 2022 sobre qué beneficios pueden considerar los oficiales, para admisiones y solicitudes I-485 a partir del 18 de septiembre de 2026; los beneficios recibidos antes de esa fecha se siguen considerando bajo la regla de 2022.",,3,2025-11-19,2026-07-16,2026-08-31,/immigration-cases/public-charge-rule/,/es/casos-de-inmigracion/regla-carga-publica/
irs-ice-taxpayer-data-sharing,IRS–ICE Taxpayer Data Sharing: Centro de Trabajadores Unidos v. Bessent,Intercambio de datos de contribuyentes entre el IRS e ICE: Centro de Trabajadores Unidos v. Bessent,Centro de Trabajadores Unidos v. Bessent,"D.C. Cir. No. 25-5181 (aff'g D.D.C. No. 1:25-cv-00677, Friedrich, J.)",U.S. Court of Appeals for the D.C. Circuit,Corte de Apelaciones de EE.UU. para el Circuito del Distrito de Columbia,partially_blocked,Partially blocked,Parcialmente bloqueada,"People who file U.S. taxes with an Individual Taxpayer Identification Number (ITIN) or who otherwise have a return on file with the IRS, including immigrants without lawful status. Under the D.C. Circuit's reasoning, Section 6103 would let the IRS give ICE the name and address on file for a qualifying request tied to a non-tax criminal investigation; however, separate district-court injunctions currently block large-scale sharing. The decision does not authorize sharing for civil immigration enforcement, and it does not open up the contents of a tax return, such as income, dependents, or deductions.","Personas que declaran impuestos en EE.UU. con un Número de Identificación Personal del Contribuyente (ITIN) o que de otro modo tienen una declaración registrada ante el IRS, incluidas personas inmigrantes sin estatus legal. Según el razonamiento del Circuito de D.C., la Sección 6103 permitiría al IRS entregar a ICE el nombre y el domicilio en sus registros ante una solicitud que cumpla los requisitos y esté vinculada a una investigación penal no tributaria; sin embargo, medidas cautelares de tribunales de distrito bloquean actualmente el intercambio a gran escala. La decisión no autoriza el intercambio para la aplicación civil de las leyes de inmigración, ni abre el contenido de la declaración de impuestos, como ingresos, dependientes o deducciones.",,8,2025-03-07,2026-06-30,2026-09-01,/immigration-cases/irs-ice-taxpayer-data-sharing/,/es/casos-de-inmigracion/irs-ice-comparticion-datos-contribuyentes/
wassily-v-blanche-asylee-adjustment,Wassily v. Blanche: Supreme Court Case on Adjusting Status After Asylum Is Terminated,Wassily v. Blanche: caso ante la Corte Suprema sobre el ajuste de estatus tras la terminación del asilo,Wassily v. Blanche,No. 25-842,U.S. Supreme Court,Corte Suprema de EE.UU.,awaiting_decision,Awaiting decision,En espera de fallo,"People who were granted asylum in the United States and later had that asylum terminated — for example, after a conviction treated as a ""particularly serious crime"" — and who are seeking to become lawful permanent residents. The federal appeals courts are split: the Second and Fourth Circuits hold that adjustment of status under 8 U.S.C. § 1159(b) is not available once asylum has been terminated, while the Fifth Circuit has allowed former asylees to apply. The Supreme Court's ruling will set one nationwide rule on whether a person whose asylum was terminated can still pursue a green card through this path. This is general information, not legal advice.","Personas a quienes se les concedió asilo en Estados Unidos y a quienes luego se les terminó ese asilo —por ejemplo, tras una condena considerada un ""delito particularmente grave""— y que buscan convertirse en residentes permanentes legales. Los tribunales federales de apelaciones están divididos: los Circuitos Segundo y Cuarto sostienen que el ajuste de estatus bajo 8 U.S.C. § 1159(b) no está disponible una vez terminado el asilo, mientras que el Quinto Circuito ha permitido que exasilados presenten la solicitud. El fallo de la Corte Suprema establecerá una sola regla a nivel nacional sobre si una persona cuyo asilo fue terminado todavía puede solicitar la green card por esta vía. Esta es información general, no asesoría legal.",,2,2025-08-07,2026-06-29,2026-09-01,/immigration-cases/asylee-adjustment-of-status-supreme-court/,/es/casos-de-inmigracion/ajuste-de-estatus-de-asilados-corte-suprema/
daca-work-permits,DACA work permits (Texas case),Permisos de trabajo de DACA (caso de Texas),Texas v. United States (on remand to Judge Hanen),1:18-cv-00068 (S.D. Tex.); 5th Cir. No. 23-40653,"S.D. Texas (Judge Hanen), on remand from the 5th Circuit","Distrito Sur de Texas (juez Hanen), tras devolución del Quinto Circuito",awaiting_decision,Awaiting decision,En espera de fallo,"Current DACA recipients' ability to keep renewing deferred action and employment authorization, and the legal validity of DACA work permits — at issue program-wide, with the active injunction currently limited to Texas.","La capacidad de los actuales beneficiarios de DACA de seguir renovando la acción diferida y la autorización de empleo, y la validez legal de los permisos de trabajo de DACA — en disputa a nivel del programa, con la orden judicial activa limitada por ahora a Texas.",580000,4,2025-01-17,2026-06-26,2026-09-01,/immigration-cases/daca-work-permits-texas/,/es/casos-de-inmigracion/permisos-trabajo-daca-texas/
asylum-metering,Asylum metering at the border,"""Metering"" de asilo en la frontera",Mullin v. Al Otro Lado,No. 25-5,U.S. Supreme Court,Corte Suprema de EE.UU.,decided,Decided,Resuelto,"Asylum seekers physically located on the Mexican side of U.S. southern-border ports of entry who have not yet crossed into U.S. territory: under this ruling they have not ""arrived in the United States"" and cannot invoke the statutory right to apply for asylum, so CBP may turn them back via metering. People who have already physically crossed into and are present in the United States retain the statutory ability to apply for asylum and were not stripped of that right by this decision.","Solicitantes de asilo ubicados físicamente del lado mexicano de los puertos de entrada de la frontera sur que aún no han cruzado a territorio estadounidense: bajo este fallo no han ""llegado a Estados Unidos"" y no pueden invocar el derecho legal a solicitar asilo, así que CBP puede rechazarlos mediante el ""metering"". Las personas que ya cruzaron y están presentes en EE.UU. conservan la posibilidad legal de solicitar asilo y no perdieron ese derecho con esta decisión.",,2,2016-11,2026-06-25,2026-08-26,/immigration-cases/asylum-metering-supreme-court/,/es/casos-de-inmigracion/metering-asilo-corte-suprema/
in-absentia-removal-orders-notice,In-absentia removal orders and hearing notices,Órdenes de deportación en ausencia y avisos de audiencia,Surge in in-absentia removal orders and hearing-notice problems (FY2026),Operational trend — no single docket,EOIR immigration courts (nationwide),Tribunales de inmigración de EOIR (a nivel nacional),in_effect,Policy in effect,Política en vigor,"Anyone in removal proceedings before an EOIR immigration court who has a scheduled master calendar or individual hearing — especially people whose notice to appear (NTA) or hearing notice had an address error, arrived late, or was rescheduled to an earlier date. It also affects people who moved and did not update their address, because notices are mailed to the last address on file. Keeping your address current with the immigration court (Form EOIR-33) and with DHS (Form AR-11), and reading every notice you receive, are the main ways to avoid an in-absentia order. If one has already been entered, a motion to reopen based on lack of proper notice can be filed at any time, and filing it pauses removal while the judge decides. This page is general information, not legal advice.","Cualquier persona en proceso de deportación ante un tribunal de inmigración de EOIR que tenga una audiencia de calendario maestro o individual programada — sobre todo quienes tuvieron un aviso de comparecencia (NTA) o aviso de audiencia con error de dirección, que llegó tarde o que se reprogramó a una fecha más temprana. También afecta a quienes se mudaron y no actualizaron su dirección, porque los avisos se envían por correo a la última dirección registrada. Mantener su dirección al día con el tribunal de inmigración (Formulario EOIR-33) y con DHS (Formulario AR-11), y leer cada aviso que reciba, son las principales formas de evitar una orden en ausencia. Si ya se dictó una, se puede presentar una moción para reabrir basada en la falta de aviso adecuado en cualquier momento, y presentarla detiene la deportación mientras el juez decide. Esta página es información general, no asesoría legal.",,4,2024-01-31,2026-06-24,2026-09-01,/immigration-cases/in-absentia-removal-orders-and-hearing-notices/,/es/casos-de-inmigracion/ordenes-de-deportacion-en-ausencia-y-avisos-de-audiencia/
ead-automatic-extension-ended,DHS Ends the Automatic Extension of Work Permits (EADs),El DHS elimina la extensión automática de los permisos de trabajo (EAD),"Removal of the Automatic Extension of Employment Authorization Documents (DHS interim final rule, RIN 1615-AD05)",RIN 1615-AD05; FR Doc. 2025-19702 (90 FR 48799); litigation No. 8:26-cv-00060 (C.D. Cal.),U.S. Department of Homeland Security / USCIS (rulemaking); challenge pending in the U.S. District Court for the Central District of California,Departamento de Seguridad Nacional de EE. UU. / USCIS (reglamentación); impugnación pendiente en la Corte de Distrito de EE. UU. para el Distrito Central de California,in_effect,Policy in effect,Política en vigor,"People who file Form I-765 to renew an Employment Authorization Document (EAD) on or after October 30, 2025 in categories that previously qualified for the automatic extension — for example, adjustment-of-status applicants (c)(9), asylum applicants (c)(8), and H-4 and L-2 dependent spouses. For these renewals, the work permit is no longer extended automatically while USCIS processes the case; if the replacement card has not been issued before the current EAD expires, employment authorization lapses and the worker generally must stop working until the new card arrives. The change applies only to renewals filed on or after October 30, 2025: EADs that were already automatically extended before that date keep their extension, and separate TPS-related automatic extensions granted through Federal Register notices are not affected. As a measure of scale, USCIS reported receiving an average of about 52,800 automatic-extension-eligible renewal EAD applications per month in fiscal year 2023. (Note: the rule does not state that 800,000 renewal applicants per year are affected; that 800,000 figure was a USCIS projection of applicants who could have faced an EAD lapse over the roughly 22-month period from May 2024 to March 2026 had the temporary 540-day extension not been in place.)","Personas que presentan el Formulario I-765 para renovar un permiso de trabajo (EAD) en o después del 30 de octubre de 2025 en categorías que antes calificaban para la extensión automática — por ejemplo, solicitantes de ajuste de estatus (c)(9), solicitantes de asilo (c)(8) y cónyuges dependientes H-4 y L-2. Para esas renovaciones, el permiso de trabajo ya no se extiende automáticamente mientras USCIS procesa el caso; si la nueva tarjeta no se emite antes de que venza el EAD vigente, la autorización de empleo caduca y, por lo general, la persona debe dejar de trabajar hasta que llegue la tarjeta nueva. El cambio aplica solo a las renovaciones presentadas en o después del 30 de octubre de 2025: los EAD que ya se habían extendido automáticamente antes de esa fecha conservan su extensión, y las extensiones automáticas relacionadas con el TPS otorgadas mediante avisos del Registro Federal no se ven afectadas. Como referencia de magnitud, USCIS informó que recibió un promedio de aproximadamente 52,800 solicitudes de renovación de EAD elegibles para la extensión automática por mes en el año fiscal 2023. (Nota: la regla no afirma que se vean afectados 800,000 solicitantes de renovación por año; esa cifra de 800,000 fue una proyección de USCIS de solicitantes que podrían haber sufrido una caducidad del EAD durante el período de aproximadamente 22 meses, de mayo de 2024 a marzo de 2026, si no hubiera existido la extensión temporal de 540 días.)",,5,2025-10-30,2026-06-24,2026-09-01,/immigration-cases/ead-automatic-540-day-extension-eliminated/,/es/casos-de-inmigracion/extension-automatica-540-dias-permiso-trabajo-eliminada/
lpr-reentry-admission,Green-card holders at reentry: Blanche v. Lau,Residentes permanentes al reingresar: Blanche v. Lau,Blanche v. Lau,No. 25-429,U.S. Supreme Court,Corte Suprema de EE.UU.,decided,Decided,Resuelto,"Lawful permanent residents (green-card holders) who travel internationally and have a criminal conviction, a pending charge, or any alleged crime involving moral turpitude in their history. On return, a border officer may treat them as an applicant for admission and — under this ruling — needs only a ""reason to believe"" the offense occurred to deny admission and refer them to removal proceedings.","Residentes permanentes legales que viajan al extranjero y tienen una condena penal, un cargo pendiente o cualquier presunto delito de vileza moral en su historial. Al regresar, un oficial fronterizo puede tratarlos como solicitantes de admisión y — con este fallo — solo necesita una ""razón para creer"" que ocurrió el delito para negar la admisión y referirlos a proceso de deportación.",,3,2007-01-01,2026-06-23,2026-08-26,/immigration-cases/green-card-holders-reentry-blanche-v-lau/,/es/casos-de-inmigracion/residentes-permanentes-reingreso-blanche-v-lau/
courthouse-and-checkin-arrests,Court Strikes Down ICE Immigration-Courthouse Arrest Policy Nationwide,Un tribunal anula a nivel nacional la política del ICE de arrestos en los tribunales de inmigración,Pablo Sequen v. Albarran,"N.D. Cal. No. 5:25-cv-06487 (Pitts, J.)",U.S. District Court for the Northern District of California,Tribunal de Distrito de los EE. UU. para el Distrito Norte de California,decided,Decided,Resuelto,"People who attend hearings at immigration courthouses, and people held in ICE short-term holding rooms. The ruling restores the prior rules nationwide: civil immigration arrests in and around immigration courthouses are again barred except in limited circumstances, and ICE's 12-hour cap on short-term detention is reinstated. It is a court ruling about agency procedure, not a change in immigration eligibility, and it can still be appealed.","Las personas que asisten a audiencias en los tribunales de inmigración y las personas retenidas en las salas de detención de corto plazo del ICE. El fallo restablece las reglas anteriores en todo el país: los arrestos civiles de inmigración dentro y en los alrededores de los tribunales de inmigración vuelven a estar prohibidos salvo en circunstancias limitadas, y se restituye el tope del ICE de 12 horas para la detención de corto plazo. Es un fallo judicial sobre el procedimiento de las agencias, no un cambio en la elegibilidad migratoria, y todavía puede ser apelado.",,5,2025-07-31,2026-06-23,2026-09-01,/immigration-cases/courthouse-and-check-in-arrests-blocked/,/es/casos-de-inmigracion/arrestos-en-tribunales-y-citas-bloqueados/
save-voter-verification-ruling,Federal Court Strikes Down DHS's Overhauled SAVE Voter-Citizenship Database,Un tribunal federal anula la base de datos SAVE reformada del DHS para verificar la ciudadanía de los votantes,League of Women Voters v. U.S. Department of Homeland Security (SAVE voter-verification overhaul),"No. 1:25-cv-03501-SLS (U.S. District Court, D.D.C.; Judge Sparkle L. Sooknanan)",U.S. District Court for the District of Columbia,Tribunal de Distrito de EE.UU. para el Distrito de Columbia,decided,Decided,Resuelto,"Naturalized U.S. citizens — and others whose government records carried outdated or unreliable citizenship data — who risked being wrongly flagged as non-citizens and removed from state voter rolls when states checked registrations against the overhauled SAVE database. The ruling stops states and federal agencies from using the 2025 version of SAVE to verify voter citizenship or trigger roll purges. It does not end immigration-status verification for public benefits, employment (E-Verify), or licensing, which continue under the older, pre-2025 SAVE system.","A los ciudadanos estadounidenses naturalizados —y a otras personas cuyos registros gubernamentales contenían datos de ciudadanía desactualizados o poco confiables— que corrían el riesgo de ser señalados erróneamente como no ciudadanos y eliminados de los padrones electorales estatales cuando los estados comparaban las inscripciones con la base de datos SAVE reformada. El fallo impide que los estados y las agencias federales usen la versión de 2025 de SAVE para verificar la ciudadanía de los votantes o iniciar depuraciones de padrones. No pone fin a la verificación del estatus migratorio para beneficios públicos, empleo (E-Verify) ni licencias, que continúan bajo el sistema SAVE anterior a 2025.",,4,2025-03-25,2026-06-22,2026-08-26,/immigration-cases/save-voter-citizenship-check-struck-down/,/es/casos-de-inmigracion/fallo-contra-verificacion-de-ciudadania-de-votantes-save/
